"Requirement.1","Change.1","Heavy.atom.No.1","Reaction.1","Mass.Difference.1","Description.1","Reaction1_No.","Requirement.2","Change.2","Heavy.atom.No.2","Reaction.2","Mass.Difference.2","Description.2","Reaction2_No.","mass change","formula change"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"H2P2O6","H-2P-2O-6",8,"(-H2P2O6)",-159.932661,"loss of di-phosphate",105,129.140583,"C10H13N3O-1P-2S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"H3P3O9","H-3P-3O-9",12,"(-H3P3O9)",-239.898992,"loss of tri-phosphate",106,49.174252,"C10H12N3O-4P-3S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"F","HF-1",1,"(-F+H)",-17.990578,"defluorination",107,271.082666,"C10H16N3O5S1F-1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"Cl","HCl-1",1,"(-Cl+H)",-33.961028,"dechlorination",108,255.112216,"C10H16N3O5S1Cl-1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"Br","HBr-1",1,"(-Br+H)",-77.910512,"debromination",109,211.162732,"C10H16N3O5S1Br-1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"I","HI-1",1,"(-I+H)",-125.896648,"deiodination",110,163.176596,"C10H16N3O5S1I-1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"NO2","H2O-2",3,"(NO2 -> NH2)",-29.974179,"denitrification",111,259.099065,"C10H17N3O3S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"CF3","C-1F-3H",4,"(-CF3+H)",-67.987385,"loss of trifluoromethyl",112,221.085859,"C9H16N3O5S1F-3"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"C5NOH13","C-5N-1H-11",6,"(-C5NH11)",-85.089149,"loss of choline",113,203.984095,"C5H4N2O5S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"C5H7O","C-5H-6O-1",6,"(-C5H6O)",-82.041865,"loss of tiglyl",114,207.031379,"C5H9N3O4S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"NO2","N-1O-2H1",3,"(-NO2+H)",-44.985078,"loss of nitro",115,244.088166,"C10H16N2O3S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"C7H7","C-7H-6",7,"(-C7H7+H)",-91.054775,"loss of benzyl",116,198.018469,"C3H9N3O5S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"C6H5","C-6H-4",6,"(-C6H5+H)",-76.0313,"loss of phenyl",117,213.041944,"C4H11N3O5S1"
"H","C10H15N3O5S",19,"(+C10H15N3O5S)",289.073244,"addition of Glutathione",5,"C2H3O2","C-2H-2O-2",4,"(-C2H2O2)",-58.005479,"loss of acetic acid",118,231.067765,"C8H13N3O3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,610.136318,"C20H30N6O12S2"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C10H7NO",12,"(+C10H7NO)",157.052764,"indole acetylation",7,462.120923,"C20H22N4O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C12H20O10",22,"(+C12H20O10)",324.10565,"addition of di-hexose",8,629.173809,"C22H35N3O16S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C16H30O",17,"(+C16H30O)",238.229665,"addition of Palmitic acid",9,543.297824,"C26H45N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C18H30O15",33,"(+C18H30O15)",486.158475,"addition of tri-hexose",10,791.226634,"C28H45N3O21S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C2H2O",3,"(+C2H2O)",42.010565,"acetylation",11,347.078724,"C12H17N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C2H3NO",4,"(+C2H3NO)",57.021464,"glycine conjugation",12,362.089623,"C12H18N4O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C2H4",2,"(+C2H4)",28.0313,"addition of C2H4",13,333.099459,"C12H19N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C2H5NO2S",6,"(+C2H5NO2S)",107.004101,"taurine conjugation",14,412.07226,"C12H20N4O8S2"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C3H2O3",6,"(+C3H2O3)",86.000394,"malonylation",15,391.068553,"C13H17N3O9S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C3H4O",4,"(+C3H4O)",56.026215,"propionylation",16,361.094374,"C13H19N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C3H5NO2S",7,"(+C3H5NO2S)",119.004101,"S-cysteine conjugation",17,424.07226,"C13H20N4O8S2"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C3H5NOS",6,"(+C3H5NOS)",103.009186,"cysteine conjugation",18,408.077345,"C13H20N4O7S2"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C4H2N2O",7,"(+C4H2N2O)",94.016713,"addition of Uracil",19,399.084872,"C14H17N5O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C4H3N3",7,"(+C4H3N3)",93.032697,"addition of Cytosine",20,398.100856,"C14H18N6O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C4H4O",5,"(+C4H4O)",68.026215,"crotonylation",21,373.094374,"C14H19N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C4H4O3",7,"(+C4H4O3)",100.016044,"succinylation",22,405.084203,"C14H19N3O9S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C4H6O",5,"(+C4H6O)",70.041865,"butyrylation",23,375.110024,"C14H21N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C5H3N5",10,"(+C5H3N5)",133.038845,"addition of Guanine",24,438.107004,"C15H18N8O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C5H4N2O",8,"(+C5H4N2O)",108.032363,"addition of Thymine",25,413.100522,"C15H19N5O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C5H6O3",8,"(+C5H6O3)",114.031694,"glutaryllation",26,419.099853,"C15H21N3O9S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C5H7NO3S",10,"(+C5H7NO3S)",161.014666,"addition of N-acetyl-S-cysteine",27,466.082825,"C15H22N4O9S2"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C5H8O4",9,"(+C5H8O4)",132.04226,"addition of D-ribose",28,437.110419,"C15H23N3O10S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C6H10O5",11,"(+C6H10O5)",162.052825,"addition of Hexose",29,467.120984,"C16H25N3O11S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C6H11O8P",15,"(+C6H11O8P)",242.019158,"addition of Glucose-6-phosphate",30,547.087317,"C16H26N3O14P1S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C6H8O6",12,"(+C6H8O6)",176.03209,"addition of glucuronic acid",31,481.100249,"C16H23N3O12S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C7H13NO2",10,"(+C7H13NO2)",143.094629,"addition of Carnitine",32,448.162788,"C17H28N4O8S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C9H10N2O5",16,"(+C9H10N2O5)",226.058973,"addition of Uridine",33,531.127132,"C19H25N5O11S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C9H11N3O4",16,"(+C9H11N3O4)",225.074957,"addition of Cytidine",34,530.143116,"C19H26N6O10S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","CH2",1,"(+CH2)",14.01565,"methylation",35,319.083809,"C11H17N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","CO",2,"(+CO)",27.994915,"addition of CO",36,333.063074,"C11H15N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","CO2",3,"(+CO2)",43.98983,"addition of CO2",37,349.057989,"C11H15N3O8S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","H2",0,"(+H2)",2.01565,"hydrogenation",38,307.083809,"C10H17N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","H2O",1,"(+H2O)",18.010565,"addition of water",39,323.078724,"C10H17N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","HPO3",4,"(+HPO3)",79.966333,"addition of Phosphate",40,385.034492,"C10H16N3O9P1S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","NH",1,"(+NH)",15.010899,"addition of NH",41,320.079058,"C10H16N4O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","NH3",1,"(+NH3)",17.026549,"addition of ammonia",42,322.094708,"C10H18N4O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","O",1,"(+O)",15.994915,"oxidation",43,321.063074,"C10H15N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","SO3",4,"(+SO3)",79.956817,"sulfate conjugation",44,385.024976,"C10H15N3O9S2"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"HS","O3",4,"(SH -> SO3H)",47.984745,"Thiol to Sulfonic acid",45,353.052904,"C10H15N3O9S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","H2P2O6",8,"(+H2P2O6)",159.932661,"addition of di-phosphate",46,465.00082,"C10H17N3O12P2S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","H3P3O9",12,"(+H3P3O9)",239.898992,"addition of tri-phosphate",47,544.967151,"C10H18N3O15P3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","FH-1",1,"(+F-H)",17.990578,"fluorination",48,323.058737,"C10H14N3O6S1F1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","ClH-1",1,"(+Cl-H)",33.961028,"chlorination",49,339.029187,"C10H14N3O6S1Cl1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","BrH-1",1,"(+Br-H)",77.910512,"bromination",50,382.978671,"C10H14N3O6S1Br1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","IH-1",1,"(+I-H)",125.896648,"iodination",51,430.964807,"C10H14N3O6S1I1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"NH2","H-2O2",3,"(NH2 -> NO2)",29.974179,"nitrification",52,335.042338,"C10H13N3O8S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","CF3H-1",4,"(+CF3-H)",67.987385,"addition of trifluoromethyl",53,373.055544,"C11H14N3O6S1F3"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C5NH11",6,"(+C5NH11)",85.089149,"addition of choline",54,390.157308,"C15H26N4O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C5H6O",6,"(+C5H6O)",82.041865,"addition of tiglyl",55,387.110024,"C15H21N3O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","NO2H-1",3,"(+NO2-H)",44.985078,"addition of nitro",56,350.053237,"C10H14N4O8S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C7H6",7,"(+C7H7-H)",91.054775,"addition of benzyl",57,396.122934,"C17H21N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C6H4",6,"(+C6H5-H)",76.0313,"addition of phenyl",58,381.099459,"C16H19N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H","C2H2O2",4,"(+C2H2O2)",58.005479,"addition of acetic acid",59,363.073638,"C12H17N3O8S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5H5N5","C-5H-3N-5O",10,"(-C5H5N5 + H2O)",-117.04393,"loss of Adenine",60,188.024229,"C5H12N-2O7S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C10H11N5O3","C-10H-11N-5O-3",18,"(-C10H11N5O3)",-249.08619,"loss of Adenosine",61,55.981969,"H4N-2O3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C10H11N5O4","C-10H-11N-5O-4",19,"(-C10H11N5O4)",-265.081105,"loss of Guanosine",62,39.987054,"H4N-2O2S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C10H12N2O4","C-10H-12N-2O-4",16,"(-C10H12N2O4)",-224.079708,"loss of Thymidine",63,80.988451,"H3N1O2S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C10H15N3O5S","C-10H-15N-3O-5S-1",19,"(-C10H15N3O5S)",-289.073244,"loss of Glutathione",64,15.994915,"O1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C10H7NO","C-10H-7N-1O-1",12,"(-C10H7NO)",-157.052764,"loss of indole acetyl",66,148.015395,"H8N2O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C12H20O10","C-12H-20O-10",22,"(-C12H20O10)",-324.10565,"loss of di-hexose",67,-19.037491,"C-2H-5N3O-4S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C16H30O","C-16H-30O-1",17,"(-C16H30O)",-238.229665,"loss of Palmitic acid",68,66.838494,"C-6H-15N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C18H30O15","C-18H-30O-15",33,"(-C18H30O15)",-486.158475,"loss of tri-hexose",69,-181.090316,"C-8H-15N3O-9S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C2H2O","C-2H-2O-1",3,"(-C2H2O)",-42.010565,"Deacetylation",70,263.057594,"C8H13N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C2H3NO","C-2H-3N-1O-1",4,"(-C2H3NO)",-57.021464,"loss of glycine",71,248.046695,"C8H12N2O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C2H4","C-2H-4",2,"(-C2H4)",-28.0313,"loss of C2H4",72,277.036859,"C8H11N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C2H5NO2S","C-2H-5N-1O-2S-1",6,"(-C2H5NO2S)",-107.004101,"loss of taurine",73,198.064058,"C8H10N2O4"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C3H2O3","C-3H-2O-3",6,"(-C3H2O3)",-86.000394,"loss of malonyl",74,219.067765,"C7H13N3O3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C3H4O","C-3H-4O-1",4,"(-C3H4O)",-56.026215,"loss of propionyl",75,249.041944,"C7H11N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C3H5NO2S","C-3H-5N-1O-2S-1",7,"(-C3H5NO2S)",-119.004101,"loss of S-cysteine",76,186.064058,"C7H10N2O4"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C3H5NOS","C-3H-5N-1O-1S-1",6,"(-C3H5NOS)",-103.009186,"loss of cysteine",77,202.058973,"C7H10N2O5"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C4H2N2O","C-4H-2N-2O-1",7,"(-C4H2N2O)",-94.016713,"loss of Uracil",78,211.051446,"C6H13N1O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C4H3N3","C-4H-3N-3",7,"(-C4H3N3)",-93.032697,"loss of Cytosine",79,212.035462,"C6H12O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C4H4O","C-4H-4O-1",5,"(-C4H4O)",-68.026215,"loss of crotonyl",80,237.041944,"C6H11N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C4H4O3","C-4H-4O-3",7,"(-C4H4O3)",-100.016044,"loss of succinyl",81,205.052115,"C6H11N3O3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C4H6O","C-4H-6O-1",5,"(-C4H6O)",-70.041865,"loss of butyryl",82,235.026294,"C6H9N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5H3N5","C-5H-3N-5",10,"(-C5H3N5)",-133.038845,"loss of Guanine",83,172.029314,"C5H12N-2O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5H4N2O","C-5H-4N-2O-1",8,"(-C5H4N2O)",-108.032363,"loss of Thymine",84,197.035796,"C5H11N1O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5H6O3","C-5H-6O-3",8,"(-C5H6O3)",-114.031694,"loss of glutaryl",85,191.036465,"C5H9N3O3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5H7NO3S","C-5H-7N-1O-3S-1",10,"(-C5H7NO3S)",-161.014666,"loss of N-acetyl-S-cysteine",86,144.053493,"C5H8N2O3"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5H8O4","C-5H-8O-4",9,"(-C5H8O4)",-132.04226,"loss of D-ribose",87,173.025899,"C5H7N3O2S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C6H10O5","C-6H-10O-5",11,"(-C6H10O5)",-162.052825,"loss of Hexose",88,143.015334,"C4H5N3O1S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C6H11O8P","C-6H-11O-8P-1",15,"(-C6H11O8P)",-242.019158,"loss of Glucose-6-phosphate",89,63.049001,"C4H4N3O-2P-1S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C6H8O6","C-6H-8O-6",12,"(-C6H8O6)",-176.03209,"loss of glucuronic acid",90,129.036069,"C4H7N3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C7H13NO2","C-7H-13N-1O-2",10,"(-C7H13NO2)",-143.094629,"loss of Carnitine",91,161.97353,"C3H2N2O4S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C9H10N2O5","C-9H-10N-2O-5",16,"(-C9H10N2O5)",-226.058973,"loss of Uridine",92,79.009186,"C1H5N1O1S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C9H11N3O4","C-9H-11N-3O-4",16,"(-C9H11N3O4)",-225.074957,"loss of Cytidine",93,79.993202,"C1H4O2S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"CH2","C-1H-2",1,"(-CH2)",-14.01565,"demethylation",94,291.052509,"C9H13N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"CO","C-1O-1",2,"(-CO)",-27.994915,"loss of CO",95,277.073244,"C9H15N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"CO2","C-1O-2",3,"(-CO2)",-43.98983,"loss of CO2",96,261.078329,"C9H15N3O4S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H2","H-2",0,"(-H2)",-2.01565,"dehydrogenation",97,303.052509,"C10H13N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H2O","H-2O-1",1,"(-H2O)",-18.010565,"loss of water",98,287.057594,"C10H13N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"HO3P","H-1O-3P-1",4,"(-HPO3)",-79.966333,"loss of Phosphate",99,225.101826,"C10H14N3O3P-1S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"HN","H-1N-1",1,"(-NH)",-15.010899,"loss of NH",100,290.05726,"C10H14N2O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H3N","H-3N-1",1,"(-NH3)",-17.026549,"loss of ammonia",101,288.04161,"C10H12N2O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"O","O-1",1,"(-O)",-15.994915,"loss of oxygen",102,289.073244,"C10H15N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"O3S","O-3S-1",4,"(-SO3)",-79.956817,"loss of sulfate",103,225.111342,"C10H15N3O3"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"HO3S","O-3",4,"(SO3H -> SH)",-47.984745,"Sulfonic acid to Thiol",104,257.083414,"C10H15N3O3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H2P2O6","H-2P-2O-6",8,"(-H2P2O6)",-159.932661,"loss of di-phosphate",105,145.135498,"C10H13N3P-2S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"H3P3O9","H-3P-3O-9",12,"(-H3P3O9)",-239.898992,"loss of tri-phosphate",106,65.169167,"C10H12N3O-3P-3S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"F","HF-1",1,"(-F+H)",-17.990578,"defluorination",107,287.077581,"C10H16N3O6S1F-1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"Cl","HCl-1",1,"(-Cl+H)",-33.961028,"dechlorination",108,271.107131,"C10H16N3O6S1Cl-1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"Br","HBr-1",1,"(-Br+H)",-77.910512,"debromination",109,227.157647,"C10H16N3O6S1Br-1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"I","HI-1",1,"(-I+H)",-125.896648,"deiodination",110,179.171511,"C10H16N3O6S1I-1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"NO2","H2O-2",3,"(NO2 -> NH2)",-29.974179,"denitrification",111,275.09398,"C10H17N3O4S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"CF3","C-1F-3H",4,"(-CF3+H)",-67.987385,"loss of trifluoromethyl",112,237.080774,"C9H16N3O6S1F-3"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5NOH13","C-5N-1H-11",6,"(-C5NH11)",-85.089149,"loss of choline",113,219.97901,"C5H4N2O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C5H7O","C-5H-6O-1",6,"(-C5H6O)",-82.041865,"loss of tiglyl",114,223.026294,"C5H9N3O5S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"NO2","N-1O-2H1",3,"(-NO2+H)",-44.985078,"loss of nitro",115,260.083081,"C10H16N2O4S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C7H7","C-7H-6",7,"(-C7H7+H)",-91.054775,"loss of benzyl",116,214.013384,"C3H9N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C6H5","C-6H-4",6,"(-C6H5+H)",-76.0313,"loss of phenyl",117,229.036859,"C4H11N3O6S1"
"H","C10H15N3O6S",20,"(+C10H15N3O6S)",305.068159,"addition of S-Glutathione",6,"C2H3O2","C-2H-2O-2",4,"(-C2H2O2)",-58.005479,"loss of acetic acid",118,247.06268,"C8H13N3O4S1"
"H","C10H7NO",12,"(+C10H7NO)",157.052764,"indole acetylation",7,"H","C10H7NO",12,"(+C10H7NO)",157.052764,"indole acetylation",7,314.105528,"C20H14N2O2"
